"PLANILHA DE
CONTROLE FINANCEIRO",JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENTRADA: RECEITAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ração Azeitona,,,,,," R$  91,00 "," R$  91,00 "," R$  91,00 "," R$  91,00 "," R$  91,00 "," R$  91,00 "," R$  91,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seguro,,," R$  391,64 "," R$  391,64 "," R$  391,64 "," R$  391,64 "," R$  391,64 "," R$  391,64 "," R$  391,64 "," R$  391,64 "," R$  391,64 "," R$  391,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combustível,," R$  350,00 "," R$  350,00 "," R$  350,00 "," R$  350,00 "," R$  350,00 "," R$  350,00 "," R$  350,00 "," R$  350,00 "," R$  350,00 "," R$  350,00 "," R$  350,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financiamento,," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 "," R$  1.257,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psico Carla,,," R$  1.760,00 ",,,,," R$  1.760,00 "," R$  1.760,00 "," R$  1.760,00 "," R$  1.760,00 "," R$  1.760,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psico Carol,,," R$  280,00 "," R$  280,00 "," R$  280,00 "," R$  280,00 "," R$  280,00 "," R$  280,00 "," R$  280,00 "," R$  280,00 "," R$  280,00 "," R$  280,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telefones,,," R$  92,00 "," R$  92,00 "," R$  92,00 "," R$  92,00 "," R$  92,00 "," R$  92,00 "," R$  92,00 "," R$  92,00 "," R$  92,00 "," R$  92,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotify,,," R$  32,00 "," R$  32,00 "," R$  32,00 "," R$  32,00 "," R$  32,00 "," R$  32,00 "," R$  32,00 "," R$  32,00 "," R$  32,00 "," R$  32,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youtube Premium,,," R$  53,90 "," R$  53,90 "," R$  53,90 "," R$  53,90 "," R$  53,90 "," R$  53,90 "," R$  53,90 "," R$  53,90 "," R$  53,90 "," R$  53,90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime,,," R$  20,00 "," R$  20,00 "," R$  20,00 "," R$  20,00 "," R$  20,00 "," R$  20,00 "," R$  20,00 "," R$  20,00 "," R$  20,00 "," R$  20,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
